Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
8.15,5.50,7.60,4.32,12206.65,150.35
8.40,5.60,7.75,3.49,13457.85,80.90
6.70,7.30,7.75,2.18,11685.90,132.40
7.25,8.10,7.85,2.40,11852.30,86.50
6.15,5.90,9.15,3.93,11970.30,113.45
5.80,5.95,8.55,2.76,10679.30,77.15
5.40,4.70,12.30,4.77,11423.15,111.15
6.75,6.05,7.90,3.08,10556.55,111.95
9.60,8.35,6.65,2.46,12963.00,174.50
4.75,6.92,11.08,2.70,9390.17,56.00
3.75,8.50,6.45,1.52,10348.35,133.05
4.85,7.50,11.05,2.94,9986.55,76.85
4.45,6.10,12.75,3.24,10864.85,73.80
7.25,6.70,10.80,2.90,11916.05,102.65
7.85,6.00,8.30,3.35,11684.65,151.65
5.50,6.60,7.00,1.99,11986.10,156.10
2.36,4.82,11.55,2.50,8629.45,52.73
5.55,7.10,5.90,1.83,11168.65,148.25
6.30,10.45,7.05,1.81,11446.25,116.50
9.35,6.05,8.45,3.91,13417.85,200.25
5.10,6.85,8.40,2.24,12100.45,152.65
7.10,4.40,7.75,4.58,12833.10,189.35
6.85,5.50,8.70,4.39,11696.00,150.25
5.05,7.65,8.90,2.69,11271.25,115.90
4.75,6.00,9.40,2.84,11380.50,93.10
5.60,7.40,4.15,1.64,11242.25,141.65
9.90,7.30,7.60,2.76,14239.90,153.95
10.05,6.65,8.60,4.36,13840.90,184.90
6.50,6.65,8.35,3.62,12231.95,126.95
3.55,6.55,14.75,3.18,9022.00,36.25
7.55,7.70,6.65,1.90,13042.80,162.80
10.10,7.05,8.15,2.90,13659.35,189.70
5.20,5.55,6.15,2.23,9682.85,16.30
4.10,6.55,13.05,3.39,9393.35,70.05
2.05,6.55,12.30,3.35,9024.20,33.45
6.65,5.00,8.50,3.45,12040.65,178.75
2.80,6.40,8.35,2.14,9720.55,141.85
6.35,6.60,7.70,2.97,11536.35,143.25
1.95,4.10,15.65,6.09,8880.75,30.10
6.40,5.35,6.40,2.60,11498.00,173.15
6.60,7.00,7.60,2.51,12379.35,103.50
13.17,3.67,7.00,9.37,13243.67,144.17
6.60,6.50,7.50,2.87,12302.75,168.95
4.80,5.20,6.40,2.92,9766.55,153.45
5.55,5.90,8.70,2.48,10777.45,46.90
6.65,8.55,7.80,2.11,11086.80,124.25
8.30,6.65,7.65,3.53,12868.85,100.65
5.65,5.95,4.40,2.19,12287.75,180.20
7.55,5.95,7.35,3.51,13087.75,178.75
6.45,4.55,6.20,3.91,10761.05,54.05
5.20,7.60,12.35,2.37,9989.15,75.10
7.55,4.40,7.55,5.86,12768.95,115.10
6.15,3.95,7.75,4.77,11348.40,138.40
6.95,5.55,5.60,3.49,11876.15,153.85
6.20,7.05,6.80,1.95,10282.90,124.55
7.05,6.10,8.90,3.16,11492.60,118.70
7.50,7.85,11.90,2.87,11396.60,57.55
9.25,7.40,9.20,3.60,13098.15,68.65
7.90,5.95,8.85,3.53,10436.50,84.25
9.65,3.95,6.75,5.96,11711.60,140.50
5.20,4.15,7.85,4.72,11392.30,173.40
8.15,6.55,8.65,4.89,13128.35,110.85
6.45,4.60,8.75,4.44,12124.90,113.35
7.55,7.65,6.85,1.97,11820.20,131.45
5.45,5.55,11.25,3.76,11063.15,50.40
8.75,7.20,10.70,3.85,13579.80,161.35
7.55,5.35,6.00,3.15,11078.95,123.95
6.00,6.70,10.60,3.48,11159.30,81.80
4.30,7.25,6.65,1.66,9118.40,93.85
4.40,7.10,6.60,1.63,10616.05,144.75
7.65,6.70,10.55,3.74,12679.10,154.40
8.05,7.40,7.65,2.46,11848.60,132.85
10.50,5.60,6.50,4.04,11902.10,135.30
6.60,8.70,14.60,3.50,10667.75,43.10
10.20,5.10,6.65,3.91,13460.40,188.85
7.60,7.30,6.90,2.25,11816.55,93.35
7.35,7.85,6.05,2.56,12368.90,170.40
8.85,5.85,8.45,3.49,13042.55,194.00
6.90,5.25,8.40,3.37,12996.90,206.20
9.44,4.22,4.89,4.84,10058.56,105.11
8.35,6.95,10.40,3.01,12992.45,123.20
5.35,5.25,8.65,3.36,11083.10,139.40
5.80,8.35,9.45,2.55,12979.15,192.65
5.65,5.95,8.85,2.86,10829.65,130.35
5.55,6.75,9.85,2.70,10840.30,94.60
6.30,7.40,4.80,1.90,11423.35,123.60
4.60,4.95,11.50,4.37,9929.25,84.05
5.85,5.20,7.80,3.41,11428.70,161.10
5.65,7.25,8.05,1.95,10737.60,130.05
6.45,5.05,7.15,3.42,11640.05,129.85
9.85,10.00,9.10,2.11,13534.20,151.85
5.35,3.65,11.30,6.18,10447.50,70.00
3.75,4.55,14.35,7.31,11545.35,122.05
6.65,3.30,7.15,5.93,10348.70,137.80
8.25,5.70,9.20,3.62,12724.05,86.45
7.85,7.90,8.40,2.42,11622.95,124.55
11.70,5.20,7.10,4.67,12925.05,160.35
7.90,7.25,6.30,2.78,12781.60,145.70
3.95,5.30,8.50,2.61,11680.00,154.80
7.25,7.15,11.80,3.37,11866.10,103.65
