Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
6.90,4.20,9.35,6.06,10858.90,50.55
4.20,3.15,10.70,4.89,9178.30,121.70
8.50,3.95,8.55,6.68,11876.90,32.30
7.00,4.20,7.15,4.68,10614.00,25.90
5.30,6.05,11.40,3.67,10012.70,27.75
6.60,7.80,5.65,1.60,13146.30,162.35
9.00,4.55,8.90,5.33,11525.75,18.45
7.60,4.45,8.75,5.90,11869.15,25.90
1.25,5.55,16.10,4.14,7636.45,32.75
6.25,5.55,7.90,3.73,10772.35,142.45
2.30,3.05,11.05,6.35,7383.55,52.85
4.35,5.35,4.35,1.75,9450.15,163.90
9.65,6.25,5.80,3.30,12809.95,177.15
2.90,4.10,10.35,4.41,7366.35,25.55
6.40,4.70,6.85,3.57,13147.45,210.20
6.00,4.75,8.25,4.82,11819.40,196.95
8.60,3.70,7.45,5.59,12689.15,40.45
8.10,6.05,10.20,4.01,11284.15,22.65
5.85,5.35,6.75,3.08,11197.05,179.25
4.15,4.80,12.65,3.69,8888.70,34.85
7.50,4.85,5.20,3.51,11795.75,193.10
4.35,4.70,4.80,3.22,10069.60,177.40
6.30,5.15,6.60,3.83,10396.15,76.30
7.80,4.25,6.25,4.04,13130.45,199.05
2.20,6.40,13.70,2.90,7686.60,43.55
5.35,4.05,4.50,3.25,11056.20,186.80
6.50,4.00,5.40,3.95,10865.05,142.00
7.50,4.45,8.60,5.29,12361.40,205.10
4.90,3.95,11.35,5.39,10224.95,116.20
6.10,4.80,5.45,3.16,11310.80,167.40
7.20,6.45,7.40,3.35,10611.60,24.20
5.00,3.85,5.95,4.28,11105.50,186.65
6.15,6.50,4.90,1.84,12001.70,194.35
8.85,6.25,6.75,4.17,13324.85,152.45
6.95,4.15,7.80,4.27,10801.40,41.50
3.55,5.75,15.40,4.15,8561.65,33.05
5.60,3.60,5.15,4.69,9396.55,101.75
5.65,5.65,9.20,3.76,10377.85,48.50
8.15,4.75,5.80,3.46,10757.25,156.25
5.65,6.05,6.70,2.26,9709.80,21.60
6.90,4.65,9.05,5.98,11055.25,169.40
8.20,4.60,7.20,4.71,12573.60,199.60
8.10,4.85,7.60,4.77,12009.15,37.10
1.15,3.45,14.65,6.75,7153.55,29.40
5.75,5.55,6.55,3.02,9836.40,18.90
6.95,4.90,3.75,3.77,11759.35,200.90
5.15,4.40,6.15,2.63,10508.55,169.70
5.30,5.30,7.55,3.39,9622.25,150.35
5.95,5.65,6.80,3.93,11365.00,189.60
2.00,6.10,15.80,3.37,8161.20,35.45
7.65,4.30,9.10,6.79,11751.50,58.30
9.75,6.50,7.45,2.98,14069.55,99.70
8.05,5.55,7.75,4.64,11434.05,47.75
2.10,4.45,15.90,6.79,8197.45,42.20
5.40,5.40,6.20,3.36,10848.60,175.20
7.35,5.40,4.75,3.30,11568.95,186.75
8.85,4.25,8.80,6.87,13049.55,57.25
8.05,3.90,7.45,5.73,12191.35,33.50
4.20,4.15,7.75,4.28,10014.65,128.25
5.75,4.60,5.80,2.66,10767.70,153.40
3.65,3.40,3.95,2.64,8663.50,147.80
3.80,6.00,12.55,4.13,8485.90,60.70
7.80,6.50,5.95,3.67,11257.35,30.65
8.60,5.45,8.90,3.84,14107.80,228.50
8.20,5.65,9.20,4.89,12350.60,48.95
5.30,3.40,9.25,5.29,9341.20,123.05
5.35,3.70,6.40,4.40,9505.85,77.95
4.55,4.15,9.15,4.87,10268.05,122.85
2.00,3.65,14.00,5.62,7594.45,30.20
4.40,4.25,9.80,6.07,9409.90,99.60
4.85,4.55,5.10,3.78,10330.65,169.30
3.10,3.65,12.45,5.45,8716.95,83.50
8.95,6.70,9.40,4.39,11946.75,23.65
7.60,3.35,5.55,5.57,11490.80,36.50
4.00,4.20,6.00,3.39,9734.20,148.25
2.15,4.85,13.35,5.32,7257.55,24.15
7.15,4.50,10.35,6.02,12365.50,189.40
4.80,6.15,7.40,3.46,10978.35,159.10
5.35,4.50,7.45,3.71,9945.20,153.55
7.50,4.90,8.25,3.76,11577.05,185.45
4.80,5.50,6.00,2.56,9972.30,152.45
7.10,4.55,5.75,3.68,11650.75,199.00
4.85,4.95,4.85,2.99,11939.15,197.60
6.00,4.60,10.50,5.57,10274.95,76.15
5.35,4.00,6.60,4.05,11478.05,182.65
6.15,5.90,11.45,4.53,11285.40,63.05
3.95,6.80,11.50,3.78,9551.60,80.65
8.60,6.00,6.50,2.95,12815.05,50.90
7.20,6.45,5.70,2.78,10983.45,165.75
6.40,5.90,7.35,2.83,11672.10,188.05
7.45,3.60,7.15,5.74,11960.75,192.75
8.25,4.45,6.95,5.02,11295.15,46.50
6.75,2.85,7.25,6.50,11513.45,183.25
7.60,6.85,8.35,2.55,11153.65,33.45
6.45,6.00,8.00,3.58,11494.40,172.30
5.90,5.65,5.90,2.70,10457.45,124.25
7.50,4.90,8.00,3.71,11815.15,182.20
5.00,5.90,7.30,3.16,9553.45,126.35
