Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
5.05,5.85,5.60,2.62,9961.95,152.80
6.40,6.35,7.45,3.46,11062.50,148.05
4.40,3.90,5.60,4.27,10496.25,184.85
6.80,6.30,5.60,2.65,11668.25,181.75
1.70,4.80,11.65,3.24,7006.70,34.65
6.60,5.55,8.25,3.90,11174.55,75.15
8.20,5.05,7.65,3.24,11475.10,139.85
1.70,5.50,12.95,3.34,7260.60,27.00
7.05,3.75,6.65,5.49,10739.35,69.45
3.35,4.05,6.20,3.11,8622.55,142.20
5.90,5.95,7.00,2.08,10401.35,151.60
5.85,4.15,12.35,5.48,10878.05,150.15
4.40,5.50,9.35,3.38,9324.75,30.30
6.95,4.05,8.00,5.88,11895.25,171.80
9.30,4.85,7.55,5.76,13093.60,20.15
1.05,5.10,9.60,2.62,5984.35,23.00
2.60,6.65,11.70,3.08,8754.40,28.70
6.90,5.75,9.50,3.35,11670.00,77.05
1.45,3.50,13.60,6.34,7163.35,38.70
2.65,5.85,14.10,3.36,7950.60,38.55
10.90,7.70,5.25,2.26,13384.45,130.05
4.15,5.60,7.50,3.04,9728.05,73.35
8.20,5.15,8.35,4.13,11408.60,22.95
9.25,5.10,7.40,4.44,13178.85,214.15
1.35,4.05,19.05,6.76,8114.30,29.25
3.85,4.55,13.00,5.45,9536.05,69.20
4.95,3.35,7.50,4.84,9666.45,157.65
5.20,6.00,6.00,2.09,10887.95,173.30
5.95,5.40,7.85,3.28,10488.75,25.25
5.35,4.60,10.60,4.11,11873.20,193.00
4.45,4.05,6.95,3.97,9527.65,107.60
2.05,4.40,11.15,4.00,7378.45,60.25
6.25,5.55,4.80,2.19,10972.15,169.75
4.40,4.20,8.00,4.95,9610.75,128.50
7.00,4.50,10.05,4.58,11100.55,62.30
9.10,4.50,8.50,5.46,13421.30,214.60
4.90,4.75,8.05,4.27,9688.90,58.85
8.40,5.65,11.10,4.04,10957.10,26.35
7.05,3.70,6.90,6.45,11329.00,85.50
8.45,5.05,9.50,5.91,12978.30,147.95
5.65,3.25,5.50,4.58,9818.75,43.05
4.55,4.40,4.50,3.08,9471.70,129.75
10.40,4.80,4.85,4.72,12487.85,176.50
6.45,5.40,7.50,4.04,11279.55,139.65
9.45,5.80,6.65,3.40,13733.95,220.70
7.40,3.95,8.85,4.96,12285.65,190.55
6.05,5.30,8.00,3.83,11626.05,124.55
7.00,7.35,10.65,2.96,10899.25,26.30
6.15,4.80,6.45,4.00,10481.80,171.10
4.10,6.15,10.70,3.37,9242.70,83.20
7.05,5.85,7.05,3.13,11385.10,132.30
1.15,6.05,17.45,3.78,8004.65,30.60
7.70,5.10,5.35,4.50,12764.80,198.50
10.10,7.85,4.50,2.17,12395.20,152.30
3.95,5.10,8.15,3.08,11188.50,161.95
8.15,5.05,8.05,4.28,12224.30,98.70
4.60,3.50,4.85,4.08,9060.65,145.05
3.30,4.15,9.10,3.31,9720.55,155.45
3.65,5.15,11.50,3.51,9497.95,50.70
5.05,5.15,7.50,3.70,10481.75,152.25
5.60,4.30,9.75,5.38,9060.10,38.05
4.60,6.35,6.55,1.90,8822.20,76.85
8.35,4.75,11.15,4.96,11019.75,30.70
10.40,7.10,6.50,2.43,13715.60,197.15
6.60,7.15,8.20,3.23,10521.65,134.35
5.85,4.95,6.85,4.38,11416.45,180.25
7.75,5.85,9.00,4.08,12195.70,30.80
5.40,4.75,6.25,4.11,10753.65,176.40
7.80,7.60,6.35,2.91,12023.15,53.50
8.65,4.90,8.55,4.64,12456.80,196.65
9.35,5.40,8.00,3.98,13381.50,197.75
5.35,5.80,5.95,2.68,10528.95,169.35
4.95,5.90,7.70,2.70,10019.55,141.20
3.35,4.90,11.20,3.92,8572.10,80.05
1.75,6.00,17.50,4.45,7997.50,26.75
5.45,6.00,7.65,2.75,11717.15,175.40
8.45,5.30,6.95,4.10,12164.90,168.55
3.95,5.85,12.50,3.86,9812.85,102.15
4.35,6.50,6.80,2.04,10078.20,138.40
7.95,5.70,6.35,3.19,11165.75,138.95
4.10,6.10,14.25,4.49,9911.00,37.15
7.25,5.00,7.85,4.21,11812.80,176.70
4.75,5.30,9.15,3.19,9525.15,121.20
7.40,6.55,7.65,2.52,13203.75,228.20
4.60,5.00,10.75,4.35,10547.65,164.95
8.25,6.40,6.95,4.02,11957.50,176.75
5.15,4.75,4.70,3.21,10549.45,129.35
4.00,4.25,9.15,3.67,8197.90,46.30
6.70,5.80,9.00,4.01,11352.75,132.80
8.20,7.30,8.20,2.58,13205.25,174.25
6.20,4.35,3.50,3.95,10345.50,160.70
6.30,4.95,7.30,3.61,10781.10,133.75
9.30,3.10,6.00,6.57,11667.60,171.05
5.10,4.15,6.10,5.31,10719.00,192.75
5.95,6.20,7.05,2.59,11162.15,173.50
4.85,5.45,6.55,3.56,10950.00,172.30
8.05,4.75,10.80,5.43,11757.25,138.80
1.90,6.60,12.90,2.58,8168.75,29.30
6.90,4.65,6.55,4.19,12283.20,212.45
7.15,4.15,6.85,5.16,9670.60,32.85
