Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
9.90,7.65,6.85,2.50,13667.40,139.10
12.30,6.45,6.60,4.57,13042.90,147.80
4.95,4.85,8.95,3.59,10870.85,112.95
7.45,5.45,5.25,3.83,11133.85,31.65
10.35,7.20,7.70,3.47,13251.65,153.75
6.85,3.15,7.85,6.49,13737.70,68.65
6.80,6.05,8.50,4.21,12588.45,194.25
7.15,6.60,5.95,2.57,11000.30,141.65
5.75,6.65,8.45,2.53,10663.05,28.85
7.50,7.50,9.70,3.06,11651.45,49.15
4.45,6.50,9.85,2.87,9762.85,72.25
4.25,7.90,9.55,1.91,9274.35,76.15
3.40,7.70,13.35,3.12,10036.20,61.10
7.95,6.35,9.15,4.09,13417.15,54.95
5.45,4.65,6.45,3.68,11305.80,180.20
7.40,5.60,7.00,3.80,12646.20,197.70
6.45,6.30,10.70,3.18,11200.20,90.10
7.30,6.15,9.60,3.17,12934.25,184.50
1.70,4.75,16.45,4.54,8891.40,22.55
6.45,4.50,7.45,4.64,12293.20,193.05
1.95,5.60,11.95,4.54,7672.25,31.40
7.85,6.30,5.65,2.61,12971.90,196.90
5.45,5.70,8.45,3.77,12214.15,145.30
5.20,6.20,11.70,2.86,11019.65,121.25
8.25,6.50,9.15,3.74,11910.55,142.00
8.90,7.30,8.55,2.91,11762.90,133.10
5.60,7.60,4.80,1.57,10817.90,145.90
8.20,7.15,8.30,2.89,13408.70,184.25
6.80,5.05,8.00,3.97,12695.15,177.75
5.80,7.30,11.80,3.31,12603.10,178.70
5.40,4.35,6.95,3.68,10273.70,120.00
6.50,6.90,11.60,3.08,11554.20,132.00
5.20,4.30,7.85,4.08,10191.10,133.05
7.15,5.15,6.05,5.06,11806.85,146.70
7.90,8.20,8.30,2.46,13085.05,170.85
4.40,5.30,8.50,2.81,10841.75,158.45
7.00,5.90,8.80,3.50,12848.20,185.60
6.15,5.30,8.80,3.80,11555.65,159.35
9.50,4.65,6.75,5.63,13377.90,190.00
7.25,7.30,5.55,1.89,12322.80,133.80
7.85,8.05,8.35,2.40,11486.80,142.30
9.35,5.45,6.50,3.00,13549.45,206.65
6.00,5.05,9.30,4.61,10958.20,49.50
12.30,4.70,6.10,4.61,14480.25,212.55
3.60,5.35,10.35,3.47,9771.80,104.65
5.45,4.50,11.05,5.44,11352.40,161.60
4.85,8.00,10.90,2.55,9952.70,47.10
9.90,4.75,9.65,6.68,13569.25,163.05
5.65,4.95,7.65,3.65,10623.80,30.35
6.45,5.95,8.85,3.57,12309.45,166.90
5.10,3.30,8.45,5.95,9810.80,84.70
6.65,4.15,8.25,5.30,12028.50,131.10
4.75,6.10,4.75,2.06,9864.30,139.80
5.70,5.20,7.25,2.85,10045.00,147.65
11.95,7.05,9.10,3.61,14586.45,139.25
6.20,5.80,9.25,2.88,12573.05,186.40
7.15,7.85,8.95,2.48,12176.95,158.05
5.45,5.00,7.80,4.19,10423.15,132.05
6.90,5.90,8.10,3.40,11839.15,90.10
8.80,5.70,10.15,4.14,11990.90,56.10
2.65,4.90,4.05,1.54,7207.05,94.90
8.45,6.25,7.05,3.58,11742.15,34.80
3.70,7.90,10.25,2.03,9697.60,51.15
3.95,5.40,9.25,3.49,10295.75,139.10
6.15,5.20,8.05,3.16,10660.40,135.55
8.75,4.50,6.55,5.05,11996.85,133.40
9.80,4.35,7.35,5.67,14334.30,41.15
4.90,6.90,9.45,3.04,10369.45,138.15
6.25,5.40,14.05,5.85,12257.85,39.70
9.00,5.60,8.25,3.90,14212.70,205.05
7.35,6.20,6.60,2.67,11984.65,178.30
10.55,4.90,8.45,4.54,12496.30,176.05
6.50,6.75,8.80,3.49,12883.90,166.15
5.40,5.00,7.65,3.42,10543.85,139.10
3.50,5.95,9.00,2.87,9710.95,41.85
5.40,7.25,5.70,2.05,11203.35,157.35
4.40,6.45,11.15,3.12,9912.15,50.70
7.70,7.50,8.10,2.17,13547.55,195.95
9.20,5.55,8.00,4.59,12838.35,192.45
5.65,6.85,14.95,3.32,11754.80,50.85
7.85,7.25,5.10,2.55,11664.15,142.70
2.80,6.05,9.90,2.15,8864.80,102.70
3.70,5.05,8.85,3.30,10263.15,165.65
11.70,6.85,6.75,3.23,13217.65,153.95
6.95,8.10,8.25,2.42,12812.30,107.95
6.85,7.40,8.40,2.22,11823.80,94.80
7.50,8.55,7.50,2.08,12676.80,129.95
5.95,5.65,6.50,2.94,10308.35,65.65
7.00,4.40,6.20,3.46,11612.05,174.60
8.43,8.29,5.57,2.35,10424.71,91.14
8.45,5.60,8.00,4.05,12482.05,66.80
5.35,6.60,13.40,4.80,10194.20,77.35
5.55,3.70,8.70,4.66,11811.60,192.95
8.85,4.20,5.15,4.68,13884.75,156.20
7.35,7.95,6.00,1.90,11957.50,185.05
13.10,6.30,7.50,3.39,15553.60,199.30
7.20,4.95,7.05,3.11,10564.55,58.10
6.70,7.80,8.70,2.20,9762.75,69.10
7.00,5.40,5.75,3.55,10884.05,157.55
5.25,4.60,6.15,2.65,10186.70,158.05
