Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
7.20,4.85,9.95,4.98,11685.50,73.50
2.35,4.10,12.20,4.95,7825.35,38.90
9.35,5.40,7.25,3.55,12753.50,183.25
7.40,4.70,8.05,5.55,11557.90,166.45
5.50,5.30,6.40,2.47,10731.80,147.75
8.90,4.30,6.20,5.71,12148.00,145.05
9.85,3.70,7.65,7.21,13554.80,218.60
7.90,4.75,7.55,4.16,11524.70,93.00
6.20,4.45,8.85,4.29,12876.35,220.35
7.10,5.60,8.00,4.27,12261.85,199.40
5.70,4.65,6.40,4.90,12197.60,205.10
5.20,5.80,6.90,3.10,10089.10,174.00
3.70,4.25,6.60,3.19,8028.65,84.70
6.80,4.05,3.70,3.31,12700.00,205.85
4.95,3.60,6.20,4.45,10715.70,185.40
7.50,5.70,7.55,3.91,10807.35,37.55
5.35,5.15,10.15,3.78,10248.70,137.45
4.80,4.55,5.70,3.18,9747.15,141.20
4.40,4.80,8.25,2.94,10984.80,191.65
4.80,3.00,6.50,5.67,10050.15,99.00
3.80,4.50,6.30,3.48,9331.75,140.25
4.70,4.25,7.25,4.00,10788.05,160.85
4.35,6.10,12.40,3.92,9195.15,34.30
6.50,5.90,7.15,3.62,10936.10,45.05
7.65,4.80,7.95,4.09,12918.25,211.30
6.20,5.90,12.20,4.79,11145.60,26.20
6.20,6.40,9.15,3.50,11715.45,185.35
5.30,3.95,6.45,3.91,11294.95,186.40
7.20,5.10,9.35,4.69,10951.50,24.50
4.75,4.10,7.25,3.41,9605.05,145.60
5.80,5.80,7.55,2.74,11062.35,179.95
2.65,3.75,10.70,5.08,7601.65,29.20
8.35,4.25,7.15,6.48,12157.80,169.90
4.85,4.60,6.30,3.46,9958.30,120.20
4.75,5.80,5.30,2.97,8912.45,129.60
4.70,5.30,7.05,3.04,10372.90,121.85
6.60,5.80,7.90,3.30,11290.75,182.30
2.85,6.30,12.25,3.89,8927.90,77.55
5.60,3.40,4.70,5.06,10430.00,173.65
5.65,5.55,9.20,4.25,10534.65,36.80
3.65,5.50,12.65,4.68,9756.85,72.05
9.85,5.45,6.65,3.99,12656.30,60.05
2.05,6.00,16.10,4.05,7990.20,35.05
4.20,5.45,7.90,2.83,9295.85,135.80
1.85,5.00,12.45,3.67,6774.30,22.45
6.85,4.95,5.70,3.77,11907.85,156.80
5.55,3.10,7.30,4.50,11014.05,179.30
3.70,4.90,10.85,3.89,8030.45,73.10
3.20,6.95,11.50,2.50,7714.80,30.10
6.50,5.65,5.35,3.42,11697.70,179.65
4.25,5.55,5.80,2.13,10999.55,185.00
3.60,4.95,7.00,3.07,9696.55,146.35
3.30,5.10,7.65,4.04,9306.35,140.50
2.15,2.80,12.35,8.12,6738.10,26.60
6.50,3.85,7.10,4.20,9717.90,117.15
7.75,5.60,7.55,4.21,10291.10,24.95
3.70,5.05,5.15,2.49,8781.10,137.05
9.45,4.45,7.00,5.41,12433.30,173.20
8.70,5.95,9.30,3.84,11314.15,79.45
1.40,4.45,12.70,5.75,6559.95,24.25
2.55,4.50,16.45,5.31,8413.60,24.85
6.10,4.30,6.60,3.57,11355.00,177.90
9.95,6.10,7.05,3.37,12769.55,76.80
5.20,5.25,9.15,4.18,10910.65,173.65
4.80,5.55,10.15,3.51,8668.50,85.75
7.70,5.00,8.20,4.47,11969.85,163.70
6.35,6.70,8.50,3.11,10551.25,144.65
4.65,3.75,7.15,5.22,10508.30,176.30
9.05,5.00,6.35,4.83,12487.40,189.25
6.20,5.00,11.15,5.00,11079.45,61.55
5.10,4.40,7.25,3.91,11138.45,128.75
2.00,4.60,14.65,4.64,7617.05,25.45
5.45,4.10,8.60,6.02,10817.30,68.45
9.10,4.45,8.00,5.47,11542.00,42.35
6.60,4.85,7.55,3.52,9840.80,125.75
4.55,2.30,7.40,6.43,9495.90,131.55
7.20,5.15,5.10,3.00,9826.95,25.65
3.30,4.95,6.90,2.53,9764.40,163.25
1.65,3.60,13.95,6.02,7181.20,40.35
5.65,4.65,7.15,3.96,10665.30,132.70
10.70,3.65,6.60,6.29,11584.40,39.00
4.55,5.75,6.15,2.23,10497.65,124.00
7.85,6.15,7.40,2.85,12043.50,134.60
5.55,3.40,6.10,4.08,10646.55,169.50
3.25,4.90,8.70,3.92,9057.40,103.45
4.90,5.15,6.50,2.56,9978.10,170.20
7.05,5.65,7.85,3.42,12408.05,194.35
4.35,6.70,3.90,1.43,9764.40,163.45
5.10,4.25,8.55,3.24,9951.70,98.60
5.15,4.35,7.20,3.26,9058.25,105.00
2.20,6.50,15.10,3.87,8222.20,40.40
6.90,5.55,6.35,3.20,10501.00,152.40
8.05,3.60,5.10,5.18,10679.25,168.45
2.55,3.50,12.55,5.33,7622.30,30.50
6.05,4.20,5.90,3.90,11334.75,188.75
5.70,5.75,10.50,3.96,10410.70,82.00
8.40,4.45,7.80,5.50,12141.85,53.90
6.35,2.85,7.95,7.65,10716.95,176.85
5.85,6.55,6.25,2.73,12105.90,214.95
5.25,5.55,5.90,2.40,10720.20,176.95
