Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
9.92,4.15,7.31,8.25,12732.31,114.54
4.15,4.85,6.50,3.20,9208.70,131.40
6.50,9.00,8.50,1.66,12305.95,164.05
6.70,5.95,6.55,3.58,11465.35,152.70
10.25,7.90,6.15,2.36,12844.50,155.60
2.65,6.05,9.65,2.31,9249.35,17.20
6.20,5.25,11.30,3.83,12377.15,162.80
8.75,5.70,6.35,4.08,12582.55,145.70
10.25,9.05,9.00,2.74,15434.10,221.55
8.20,6.70,7.30,2.31,12426.65,172.90
6.50,5.75,8.00,2.88,12768.30,180.80
3.65,5.65,14.35,4.39,9488.50,40.70
4.70,8.05,12.00,3.01,10801.30,78.45
5.10,4.85,7.05,3.53,10814.05,102.65
8.20,5.10,7.80,4.61,12747.55,192.45
9.05,6.10,8.10,4.33,12704.00,167.90
4.50,6.05,9.65,2.81,10554.80,124.65
9.20,6.10,9.55,4.13,12529.55,153.75
9.70,6.75,6.80,2.68,11945.55,140.20
5.25,7.30,7.60,2.10,9605.05,43.15
7.85,7.80,7.75,2.25,11564.80,99.70
4.60,7.15,5.65,1.56,9828.45,103.00
8.65,10.05,7.55,1.78,12999.15,166.05
8.20,7.60,6.70,2.70,11569.95,141.10
6.30,4.40,4.75,3.26,9456.80,36.05
5.65,7.00,9.60,2.15,10507.75,125.70
5.65,4.95,8.15,4.10,11214.00,132.95
6.25,6.85,5.50,2.21,11060.20,145.70
2.15,4.90,17.65,5.22,9885.95,55.35
6.40,7.55,12.85,3.00,11656.50,75.20
5.75,5.80,7.90,2.71,11145.05,158.75
3.65,6.60,11.00,3.13,9863.50,47.20
8.35,9.50,6.90,1.91,12851.25,94.50
4.80,7.90,7.30,2.63,8308.80,51.60
7.10,7.80,7.15,1.89,12250.15,168.80
10.20,5.90,8.30,3.64,13456.40,134.30
2.00,4.38,15.62,7.25,8979.38,42.31
6.05,4.50,5.60,4.20,10715.00,129.35
5.80,6.05,6.60,1.82,11061.10,150.05
7.70,6.30,6.80,2.23,11329.90,135.05
8.25,8.05,5.95,2.43,13497.55,105.80
4.78,6.56,9.33,2.59,10356.11,95.22
7.10,6.35,8.40,4.11,12145.60,59.90
7.85,7.10,6.50,2.40,11475.90,143.10
3.58,6.67,9.67,4.67,9166.33,77.42
4.20,8.20,6.50,1.39,10137.65,115.75
6.45,7.10,7.85,2.16,11458.35,113.10
5.45,5.60,8.40,3.12,10430.40,139.50
4.85,5.20,6.15,2.90,11019.00,163.95
4.65,5.55,6.20,2.37,8882.40,89.90
6.85,7.30,5.45,2.50,14119.30,205.45
6.70,6.70,8.40,2.37,12032.15,124.80
2.70,5.75,11.95,3.00,8637.10,51.50
6.90,5.35,10.65,6.29,11593.55,28.10
6.65,7.85,7.15,2.42,12425.95,76.50
4.45,6.35,10.20,4.33,11126.75,132.25
6.35,3.90,8.20,4.85,12725.40,178.65
6.50,7.55,10.05,2.29,12332.65,160.50
4.55,8.20,10.35,2.27,9880.00,71.50
7.70,7.10,7.15,2.52,12406.50,157.40
4.20,5.50,8.60,3.14,9557.20,76.30
8.25,6.85,8.70,3.03,13847.60,151.70
9.70,6.10,6.05,3.43,12450.85,134.70
6.30,8.00,8.40,2.15,11643.35,139.35
1.75,4.80,12.00,3.79,8124.10,48.15
5.32,6.84,6.26,1.74,10378.32,135.21
6.25,6.90,8.65,2.30,11417.75,109.60
4.55,6.20,7.70,1.89,10212.10,132.75
2.10,6.40,11.75,2.95,7469.50,26.20
8.55,7.95,7.40,2.67,12672.30,131.65
7.20,8.20,7.60,2.41,11666.00,152.65
10.05,7.85,8.75,3.61,13962.40,126.70
5.40,6.05,8.25,2.34,10924.15,141.50
4.55,4.75,9.70,3.84,9659.10,57.30
5.00,7.85,6.05,1.39,9602.50,102.40
5.90,8.60,8.60,1.88,11229.35,148.80
4.75,6.20,11.05,4.04,11053.45,90.70
1.93,4.93,9.43,2.58,7681.64,33.50
8.40,7.35,6.65,2.39,12728.05,170.50
9.20,6.25,8.05,3.19,11587.05,120.65
4.45,4.50,7.05,3.17,9609.85,124.20
7.65,6.75,7.40,2.39,11847.55,147.25
7.45,5.30,9.25,4.69,12035.10,132.70
5.20,5.05,7.65,3.08,10215.15,106.10
5.70,4.80,4.75,2.49,10173.75,141.20
2.25,8.55,13.60,1.77,7965.40,18.05
10.00,9.95,5.95,1.70,14045.75,161.55
8.30,6.00,6.20,3.15,11602.20,145.20
8.10,8.55,9.35,2.60,12675.10,121.90
7.60,4.45,7.80,4.86,10571.95,147.00
9.20,5.05,6.20,4.00,14143.60,209.75
3.75,7.40,7.40,1.64,9838.55,93.65
2.69,6.31,9.15,2.00,7676.23,43.69
2.10,4.65,12.30,4.02,8549.35,37.35
7.20,6.10,6.80,2.85,12370.40,166.45
8.50,7.10,8.90,3.47,12599.65,160.05
7.65,6.95,6.45,2.31,12089.25,136.60
7.70,8.75,7.45,2.20,11978.90,81.50
7.80,6.35,8.05,2.97,12728.35,149.85
5.35,6.12,7.35,2.53,10009.41,128.29
