Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
8.10,4.55,7.80,5.10,11555.55,54.05
9.75,4.05,5.85,4.49,11733.70,156.30
1.70,3.50,14.25,5.75,7090.25,26.70
6.05,4.70,14.25,5.56,10138.85,77.30
6.30,5.65,6.30,3.23,11178.25,176.50
6.35,3.55,6.55,5.60,12170.85,183.50
5.60,5.35,6.95,3.55,11786.70,179.50
1.50,5.90,15.80,3.33,7186.40,22.15
3.60,6.25,13.70,3.90,8495.15,28.40
9.75,4.45,7.00,4.93,12864.10,197.55
7.75,5.55,10.30,4.77,11787.35,37.30
6.45,5.00,7.05,3.61,10643.00,117.55
5.60,5.25,6.05,2.53,11180.50,196.50
6.95,5.40,5.80,3.16,10941.75,160.25
3.75,4.30,7.35,3.71,9910.55,165.30
2.45,4.50,14.95,6.73,7862.45,33.80
6.05,4.45,5.60,3.51,10019.20,112.55
3.20,4.30,11.45,4.70,8891.55,94.60
6.50,5.75,10.75,3.75,10867.30,34.00
6.75,4.75,8.05,4.55,12117.30,191.15
10.35,3.85,7.30,6.87,13118.00,190.90
5.10,4.05,9.45,5.71,11700.95,185.25
10.40,6.60,7.75,3.68,13326.65,69.75
6.00,6.05,9.90,4.01,11683.70,161.30
6.40,4.65,9.60,5.32,10579.65,85.80
7.45,4.70,7.20,4.77,10632.90,21.40
3.30,4.60,17.00,5.60,8025.50,26.85
0.90,3.85,14.40,4.27,7256.40,28.15
8.45,4.60,7.00,4.20,10634.70,128.30
6.85,3.80,7.65,6.38,10824.65,15.80
5.35,3.65,7.45,5.29,10925.60,173.45
7.25,4.60,9.25,4.58,11375.70,34.80
5.00,4.90,5.65,2.88,11133.05,196.05
1.85,6.40,18.90,4.34,8403.95,23.20
6.15,6.50,9.20,3.22,11458.40,138.15
6.45,6.05,7.50,2.71,12160.85,206.55
5.65,3.85,7.80,4.79,10141.85,176.85
2.30,6.65,12.10,3.10,7745.40,41.80
5.20,5.70,7.80,3.56,10297.30,158.00
8.45,6.50,6.05,3.79,12695.45,121.75
2.45,3.85,8.50,3.87,7473.50,108.65
6.60,4.85,5.50,2.76,12470.80,186.50
4.65,3.55,9.85,5.50,9755.35,162.50
8.10,4.50,7.45,5.56,12389.45,164.55
8.00,6.05,7.20,3.77,11806.60,113.00
8.00,5.75,5.25,3.31,12274.50,187.55
5.10,4.70,5.75,2.89,9429.60,136.25
6.85,4.50,5.80,3.59,13070.25,220.60
3.65,5.60,11.50,3.12,8941.15,80.90
8.45,5.40,10.05,4.13,12401.30,79.80
7.05,5.00,9.30,4.79,12647.05,153.00
8.65,6.45,9.30,4.09,11803.20,143.85
8.15,4.80,6.90,4.55,13198.50,210.20
9.20,7.55,9.55,2.95,12500.90,37.15
5.35,5.40,9.00,3.94,10819.80,133.50
5.85,5.60,5.10,3.30,11350.95,167.35
5.80,5.85,7.10,2.93,11594.25,182.55
2.30,5.40,15.45,4.46,8619.05,29.30
9.15,4.55,6.00,5.63,12756.25,202.45
5.90,4.80,8.85,4.78,10969.05,164.25
6.35,3.70,7.80,4.15,11297.40,196.45
5.50,5.30,7.30,3.71,11128.00,180.55
5.00,5.15,7.30,4.38,10725.00,175.40
5.70,4.70,5.20,2.47,10581.15,182.55
1.50,4.95,15.30,6.37,7721.60,32.75
7.10,5.10,6.90,3.43,10004.55,111.35
4.55,4.05,11.35,5.80,9765.35,109.00
7.65,6.20,8.35,4.03,10687.60,40.80
5.60,6.20,7.25,2.57,9601.00,114.35
3.30,5.80,6.90,2.52,9419.50,148.75
10.05,6.45,9.60,4.49,13360.35,95.70
5.40,4.25,5.50,3.45,10693.10,167.25
4.65,4.45,7.80,3.55,11360.80,195.10
4.15,3.40,3.75,3.35,8831.15,65.80
5.10,3.75,7.70,4.92,11771.00,196.25
3.75,4.40,9.00,3.96,8955.45,24.50
4.40,3.75,5.45,3.46,10037.25,181.25
7.85,4.20,11.45,6.16,11183.25,32.80
6.85,4.75,8.60,4.00,11506.75,166.25
7.35,4.75,6.25,3.53,10836.65,80.30
6.70,5.20,8.90,3.55,11826.35,184.80
3.90,5.85,11.10,4.09,8439.75,32.40
4.35,5.55,12.70,4.39,9965.45,99.05
7.15,5.35,11.30,5.70,11479.55,41.55
5.45,4.50,7.05,3.52,10992.70,183.50
7.55,5.85,6.35,4.08,12720.35,183.80
4.20,6.95,5.00,1.45,9468.50,131.90
5.50,4.05,6.40,3.28,9329.15,132.70
2.75,5.35,14.80,4.38,7927.60,24.75
3.25,4.30,13.35,4.81,8592.05,34.15
6.10,5.60,6.85,3.43,10800.95,47.80
8.30,6.80,9.40,2.84,12710.70,131.20
5.30,6.10,10.25,2.76,10815.75,39.75
7.00,5.10,10.65,3.65,12165.30,167.20
5.95,4.65,8.75,4.09,10942.75,162.05
5.60,6.30,9.30,3.13,11838.95,187.35
7.30,5.75,7.55,4.00,11654.70,186.15
6.10,6.60,6.05,2.52,12219.60,186.90
4.15,6.50,6.05,1.71,9944.55,157.35
5.15,4.95,6.50,2.93,9868.20,145.70
