Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
6.25,2.80,10.30,7.71,11303.15,173.30
9.25,5.95,6.65,3.04,12541.20,138.25
7.30,6.15,5.65,2.49,12521.40,189.55
6.15,7.20,8.30,2.30,11204.95,117.20
6.00,8.55,11.65,2.69,10859.15,109.20
9.00,7.85,8.10,2.91,13922.20,92.35
5.40,6.20,11.10,3.94,10475.65,62.75
6.25,4.95,8.25,4.40,10840.95,32.00
7.70,8.45,5.55,1.79,12801.75,121.50
7.60,7.05,8.45,2.70,12671.05,163.90
7.15,7.45,8.35,2.64,12326.60,94.45
10.95,7.95,5.15,2.37,14249.30,139.75
5.50,5.05,8.80,3.43,11923.10,136.25
9.20,6.55,7.40,3.18,13179.70,128.15
6.70,6.10,8.35,3.36,12669.75,201.65
5.30,3.50,10.70,7.78,11746.75,31.55
5.10,4.80,10.40,4.13,10407.20,86.55
6.25,3.70,7.25,4.87,10438.30,39.95
7.00,8.50,7.75,1.91,12394.40,125.50
7.45,8.35,9.10,2.54,11946.00,71.70
8.85,6.65,8.50,3.28,14871.75,208.35
5.05,6.05,8.70,3.33,10453.45,89.85
5.40,6.60,8.55,2.79,10375.45,39.80
6.05,6.95,6.95,2.02,10622.70,134.80
9.40,8.35,8.90,2.54,13296.15,182.45
6.10,4.75,8.85,3.96,11061.15,161.75
7.10,3.70,9.10,5.66,11107.75,92.65
9.00,6.05,7.30,3.36,14203.90,188.05
9.35,6.95,7.35,3.24,13882.40,190.20
3.35,5.70,7.30,2.14,9146.70,125.50
7.90,5.20,9.90,4.12,13214.85,43.40
5.75,5.40,10.35,4.39,11032.00,69.05
7.30,5.15,6.75,5.16,10857.30,154.40
6.15,4.85,9.50,4.49,11172.65,44.70
6.60,3.35,8.75,6.63,10826.55,110.65
5.20,6.30,11.00,2.64,12134.10,151.05
4.95,7.30,8.75,1.92,10472.75,95.40
4.55,6.15,7.15,2.79,10870.50,154.55
5.35,4.45,8.00,4.25,10718.25,160.40
5.55,5.70,6.05,2.92,12115.20,137.50
5.65,5.45,7.60,2.91,11736.20,85.40
8.40,7.35,6.65,2.35,12279.85,138.60
3.50,6.40,14.15,3.59,10075.85,110.60
6.25,5.95,5.75,2.76,10907.70,121.60
7.95,7.75,9.80,3.34,13314.30,165.40
6.10,7.10,10.60,2.87,10819.40,104.95
6.35,7.75,9.70,2.53,13013.35,151.15
7.50,7.30,8.30,2.56,13032.10,190.40
3.40,6.05,6.90,2.06,9615.45,131.55
6.00,5.05,9.90,3.54,11816.65,150.45
5.75,7.25,11.55,3.76,12564.15,174.55
6.90,5.25,11.85,4.64,10059.55,107.85
8.50,6.90,9.80,2.93,12966.90,188.80
1.60,4.55,13.65,4.29,7745.85,31.45
6.40,6.40,8.05,3.15,11100.85,164.05
7.50,5.10,10.30,4.77,11513.95,65.60
5.30,5.15,7.40,3.03,10515.95,77.25
6.05,6.20,11.35,3.68,10944.30,92.80
4.40,6.65,12.15,2.94,10097.45,74.40
3.15,8.35,9.65,2.01,8411.70,39.65
5.80,5.15,6.30,3.27,10722.20,151.65
5.75,6.95,8.85,2.89,10661.90,125.50
5.50,3.55,12.80,7.54,11018.50,126.00
5.65,7.95,9.80,3.03,11614.75,130.95
4.35,3.55,11.80,6.20,10863.45,39.15
6.35,6.25,7.05,3.44,12237.80,185.95
3.80,5.90,12.60,4.18,9074.60,73.00
6.55,6.30,5.95,2.38,10315.20,85.45
7.60,7.20,8.60,2.67,12184.60,148.00
8.95,5.90,7.60,4.76,13031.95,185.20
5.15,6.35,11.15,2.83,10520.25,94.20
5.40,8.15,8.50,1.71,10235.95,129.45
5.45,4.20,6.10,3.77,9594.70,125.50
6.85,6.50,7.65,2.85,11359.45,101.75
5.60,5.55,8.10,2.81,10903.65,125.55
7.65,4.55,9.10,6.20,12024.60,175.35
4.90,9.20,16.05,2.75,11812.20,94.10
6.50,4.95,10.60,3.76,11561.10,101.80
8.50,5.40,10.65,4.76,11343.90,97.70
7.35,4.70,7.35,4.82,11806.90,130.20
5.80,6.20,10.00,2.96,10687.30,153.15
4.00,7.65,8.15,1.64,10164.55,117.05
10.60,7.80,8.10,2.66,12159.05,132.60
5.75,6.70,4.25,1.68,10874.35,142.45
4.80,5.95,11.15,2.70,8868.95,43.20
7.35,6.10,7.20,3.72,11156.85,92.15
4.90,7.10,7.50,2.12,10642.55,127.70
6.85,7.50,6.85,2.18,12507.65,160.45
7.45,6.85,7.40,2.33,10137.80,64.95
4.95,5.65,10.45,2.94,10368.00,55.15
6.05,3.75,8.95,4.98,12049.55,195.50
2.95,6.35,14.20,3.89,8878.30,36.90
3.85,5.60,10.60,5.06,9708.95,30.75
3.60,6.45,7.70,1.87,9433.70,112.90
6.55,4.60,9.85,4.25,13333.50,48.15
4.10,4.95,6.00,2.60,9272.15,122.50
5.90,6.25,9.35,4.74,11143.50,100.80
6.25,6.80,8.65,2.89,12961.65,157.75
5.15,6.35,11.00,2.90,10114.00,51.80
7.90,7.30,7.30,3.92,12953.75,173.95
