Avg_Kills,Avg_Deaths,Avg_Assists,Avg_KDA,Avg_total_gold,Avg_total_minion
6.60,5.95,10.70,4.38,12656.95,158.40
6.05,5.55,7.90,3.53,11076.45,164.90
5.75,6.15,8.25,2.53,10315.65,148.50
10.20,7.10,9.95,3.85,13391.85,115.85
7.60,9.35,8.65,2.03,11921.40,136.90
5.90,7.05,5.10,1.60,10307.45,132.90
6.35,4.55,8.65,4.05,11893.35,124.40
8.20,5.80,9.35,3.76,13866.90,173.00
5.55,7.00,10.90,2.98,11608.70,128.75
6.00,6.15,10.75,2.95,11843.65,75.45
9.90,9.25,6.40,2.36,12086.50,72.25
5.95,7.85,12.55,2.51,11871.90,125.95
6.05,5.50,6.65,2.91,11244.15,153.25
7.20,5.80,14.20,4.08,12195.00,124.20
6.15,5.15,7.75,3.13,10785.00,138.80
2.67,3.75,6.08,2.16,8320.50,136.75
10.65,5.55,7.80,4.19,13418.35,158.45
4.10,7.00,7.55,2.63,11169.05,159.40
7.05,8.40,7.65,1.69,12171.30,149.75
5.85,6.55,7.35,2.42,12042.55,123.95
5.25,7.20,8.75,2.46,9995.60,26.30
5.00,5.35,7.65,3.00,11822.90,159.60
9.25,6.30,9.15,3.76,13657.60,137.30
4.75,4.65,8.85,5.04,10170.25,87.90
6.95,5.90,8.35,3.87,12162.80,157.10
6.55,9.45,5.05,1.12,10819.40,141.40
6.05,5.95,7.70,2.87,10287.75,119.95
9.65,5.25,6.40,4.17,13278.00,196.50
2.35,7.20,11.45,2.23,8047.70,25.40
6.00,5.30,9.60,4.45,11244.65,69.15
5.45,6.75,11.30,2.88,11292.65,122.70
2.75,5.50,13.20,3.46,9775.70,67.80
5.00,5.30,9.00,3.92,10789.85,111.90
13.30,5.80,6.40,4.59,14850.85,132.55
3.30,7.40,9.45,1.98,9415.65,124.10
3.65,6.25,10.10,3.54,8819.20,68.05
1.80,4.35,13.55,5.57,7816.35,31.40
6.65,5.90,6.15,3.08,11448.25,113.55
4.65,5.30,13.85,3.67,9649.80,70.10
9.10,7.50,8.85,2.90,12846.20,130.40
8.20,5.75,8.55,3.91,12981.10,131.30
4.90,4.85,11.80,4.89,10140.05,47.25
4.70,7.60,10.15,1.97,10302.55,59.65
5.20,7.35,5.65,1.90,11283.65,115.00
2.20,5.25,13.55,4.88,8423.10,52.45
3.00,6.05,11.25,2.98,8890.85,43.50
5.35,6.30,12.50,4.16,11505.75,100.20
7.60,7.50,7.80,2.53,12919.65,198.50
7.60,5.60,7.70,3.53,12336.35,179.95
5.95,5.85,6.50,2.47,11868.30,192.90
6.55,7.90,6.85,2.56,11453.35,152.05
7.75,7.85,9.15,2.88,13801.60,137.10
8.25,7.50,6.15,2.14,11891.65,154.85
5.65,5.75,8.25,2.93,11317.95,159.15
9.20,5.65,5.95,3.01,13029.20,208.65
6.60,7.75,8.25,2.23,12608.20,172.35
3.40,6.40,8.95,2.42,9886.15,71.25
8.90,5.90,6.25,4.05,11886.65,142.15
2.40,10.20,7.80,1.22,7956.60,54.20
6.15,6.85,9.15,2.62,11277.85,131.80
5.05,6.05,6.65,2.88,9942.20,111.65
7.10,5.35,7.50,4.10,12514.40,166.45
8.10,5.45,9.70,3.77,11994.85,70.95
7.93,5.36,6.36,4.05,12554.86,158.57
5.25,6.30,11.65,3.60,10994.00,46.05
6.46,5.62,8.62,3.48,12099.69,89.77
2.05,5.40,12.55,3.65,7894.20,25.50
2.90,4.75,8.85,1.95,8112.75,99.85
9.70,7.65,6.60,2.26,14014.80,203.30
6.40,4.65,6.40,3.23,10283.30,141.90
4.30,7.30,12.15,2.44,11545.45,136.20
7.75,6.45,5.10,2.93,11100.55,145.45
5.90,5.50,5.85,3.05,11364.90,152.55
